epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.031,0.01236,0.02308,4.8646,1.69917,0.37121,0.07041,0.02884,0.0121,0.36104,0.05183,0.02116,0.00675,0.01497,0.02904,4.46383,2.07582,0.0674508,0.000664269,0.000664269
2,367.126,0.01292,0.02155,3.88565,1.81724,0.38642,0.07692,0.04588,0.01902,0.40216,0.07621,0.0489,0.01801,0.0142,0.02358,3.90308,1.99235,0.0347782,0.00132495,0.00132495
3,544.163,0.01274,0.02157,3.73579,1.80465,0.52886,0.13578,0.07805,0.03207,0.52854,0.13453,0.07578,0.02962,0.01393,0.02187,3.61551,1.93859,0.00209953,0.00197962,0.00197962
4,718.544,0.01238,0.02158,3.622,1.76946,0.55608,0.12114,0.08143,0.03463,0.56354,0.11971,0.0857,0.0319,0.01361,0.02227,3.482,1.96432,0.001973,0.001973,0.001973
5,891.078,0.01192,0.02092,3.49004,1.72697,0.4003,0.14595,0.11173,0.05066,0.4022,0.14282,0.1054,0.04769,0.01319,0.02155,3.28536,1.89264,0.001964,0.001964,0.001964
6,1063.64,0.01184,0.02095,3.40065,1.69976,0.3642,0.15508,0.12477,0.05368,0.36377,0.15543,0.13799,0.05517,0.01341,0.02139,3.29523,1.92661,0.001955,0.001955,0.001955
7,1237.49,0.01149,0.02042,3.26144,1.6524,0.47774,0.15139,0.14236,0.06463,0.48809,0.15556,0.13855,0.05859,0.01314,0.02096,3.18544,1.85535,0.001946,0.001946,0.001946
8,1411.7,0.01138,0.02028,3.14595,1.63858,0.66978,0.14383,0.16733,0.07769,0.68109,0.14366,0.16389,0.07675,0.01297,0.02117,3.02394,1.80853,0.001937,0.001937,0.001937
9,1588.61,0.01122,0.02007,3.14316,1.61207,0.41931,0.17155,0.15719,0.07707,0.41928,0.16454,0.16227,0.07043,0.01292,0.02077,3.00817,1.81341,0.001928,0.001928,0.001928
10,1762.03,0.01098,0.01977,3.1169,1.59202,0.54875,0.17591,0.17682,0.08102,0.55273,0.16893,0.18057,0.0833,0.01238,0.02028,2.9143,1.77204,0.001919,0.001919,0.001919
11,1935.75,0.01112,0.01974,3.08168,1.61256,0.52121,0.15034,0.16677,0.0751,0.5076,0.14988,0.16,0.07291,0.01269,0.02184,3.06762,1.80616,0.00191,0.00191,0.00191
12,2107.35,0.01097,0.01972,3.02586,1.58523,0.35704,0.21678,0.19958,0.09783,0.35194,0.20508,0.19752,0.09182,0.01235,0.02005,2.8968,1.77255,0.001901,0.001901,0.001901
