epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.979,1.98392,5.58967,6.46246,1.76817,0.53009,0.06025,0.04567,0.01978,0.11117,0.00088,1e-05,0,1.95699,5.29991,4.58546,1.6446,0.000254489,0.000254489,0.000254489
2,330.16,1.81318,5.08553,3.26317,1.63155,0.33049,0.09319,0.05603,0.02286,0.0005,0.0365,0.00039,0.0001,1.94726,5.1318,3.00459,1.88721,0.000505765,0.000505765,0.000505765
3,494.763,1.84443,5.05671,3.00784,1.6606,0.33036,0.121,0.10666,0.05164,0.2272,0.04203,0.02724,0.00321,2.03818,5.16267,3.0051,1.91283,0.000751966,0.000751966,0.000751966
4,677.817,1.85568,5.04414,2.86976,1.66697,0.49458,0.11727,0.10425,0.04846,0.44732,0.00062,7e-05,1e-05,1.90214,5.09662,2.77487,1.75679,0.000746161,0.000746161,0.000746161
5,870.047,1.77523,5.05465,2.75594,1.62478,0.2327,0.16669,0.10478,0.05613,0.44552,0.00062,5e-05,1e-05,1.84749,5.14889,2.60501,1.64121,0.000738548,0.000738548,0.000738548
6,1043.21,1.71711,5.0463,2.61139,1.56436,0.3265,0.22047,0.14098,0.06912,0.56587,0.00176,0.00095,0.00011,1.66856,5.09851,2.45098,1.5745,0.000730935,0.000730935,0.000730935
7,1264.73,1.6713,5.05096,2.49861,1.5455,0.35557,0.1657,0.1433,0.07216,0.00844,0.0268,0.00212,0.00063,1.7173,5.15509,2.30483,1.53842,0.000723321,0.000723321,0.000723321
8,1434.63,1.6229,5.03338,2.4139,1.51348,0.37584,0.15576,0.13531,0.06695,0.13687,0.01818,0.00494,0.0009,1.69315,5.13824,2.33444,1.53359,0.000715708,0.000715708,0.000715708
9,1626,1.63254,5.04521,2.35982,1.51012,0.31126,0.18143,0.14066,0.07025,0.34122,0.00305,0.00077,0.00013,1.67958,5.14102,2.29431,1.51597,0.000708095,0.000708095,0.000708095
10,1787.39,1.5931,5.03681,2.29878,1.4865,0.4201,0.18996,0.16058,0.08182,0.01677,0.01236,0.00197,0.00038,1.572,5.08044,2.21328,1.51399,0.000700482,0.000700482,0.000700482
11,1985.36,1.58139,5.02547,2.1926,1.45833,0.2991,0.21331,0.17564,0.08941,0.01713,0.02777,0.00788,0.00148,1.62715,5.09133,2.0469,1.47692,0.000692869,0.000692869,0.000692869
12,2173.97,1.55111,5.03538,2.19336,1.44817,0.35498,0.19601,0.17109,0.08992,0.12804,0.00996,0.00237,0.00031,1.63893,5.16444,2.1575,1.49916,0.000685256,0.000685256,0.000685256
13,2374.01,1.52254,5.04031,2.10144,1.42316,0.25431,0.22697,0.18127,0.0875,0.14567,0.0156,0.00589,0.00126,1.61746,5.13351,1.93537,1.49094,0.000677643,0.000677643,0.000677643
14,2548.99,1.49569,5.02793,2.04736,1.40214,0.33947,0.20927,0.19428,0.09637,0.02256,0.01229,0.00467,0.00069,1.60309,5.11492,1.98131,1.50738,0.00067003,0.00067003,0.00067003
15,2734.69,1.46283,5.02829,2.00609,1.38323,0.40866,0.20337,0.18666,0.09836,0.20204,0.06181,0.03223,0.01349,1.56814,5.14943,1.90013,1.46429,0.000662417,0.000662417,0.000662417
16,2949.51,1.43736,5.04111,1.91931,1.37747,0.24571,0.19459,0.16455,0.08493,0.00561,0.01168,0.0025,0.00048,1.57876,5.14366,1.87681,1.46461,0.000654804,0.000654804,0.000654804
17,3120.92,1.42548,5.02395,1.9066,1.35062,0.4259,0.18034,0.1604,0.08055,0.34963,0.00691,0.00163,0.00035,1.56285,5.15024,1.94543,1.41577,0.00064719,0.00064719,0.00064719
18,3303.25,1.4133,5.02077,1.83045,1.33197,0.433,0.22215,0.22782,0.11949,0.40329,0.02307,0.02414,0.00405,1.55635,5.13958,1.81793,1.43637,0.000639577,0.000639577,0.000639577
19,3488.61,1.40039,5.00374,1.82723,1.34127,0.51491,0.21771,0.23108,0.11874,0.27841,0.04929,0.02662,0.00703,1.57914,5.06018,1.97787,1.44013,0.000631964,0.000631964,0.000631964
20,3691.02,1.42537,5.01821,1.77818,1.35339,0.30693,0.23467,0.21934,0.11564,0.00252,0.00955,0.00112,0.00028,1.62839,5.09183,1.87083,1.5036,0.000624351,0.000624351,0.000624351
21,3859.25,1.39762,4.99613,1.76834,1.35363,0.62717,0.19046,0.21849,0.1242,0.36249,0.06764,0.04057,0.0112,1.49662,5.10161,1.75463,1.40984,0.000616738,0.000616738,0.000616738
22,4049.28,1.3693,5.01417,1.72374,1.31806,0.42668,0.22201,0.24148,0.13025,0.28362,0.01977,0.01957,0.00218,1.57276,5.12229,1.796,1.47263,0.000609125,0.000609125,0.000609125
23,4228.53,1.39114,5.01813,1.66918,1.31598,0.40836,0.19334,0.20153,0.1123,0.02263,0.01681,0.00509,0.00087,1.53151,5.21312,1.88412,1.43745,0.000601512,0.000601512,0.000601512
