epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.623,0.00876,0.01776,2.00791,1.34458,0.52105,0.35437,0.34127,0.18152,0.52582,0.35918,0.35005,0.14786,0.01225,0.01983,2.48388,1.77371,0.0670889,0.000332435,0.000332435
2,407.475,0.00848,0.01663,1.89053,1.3239,0.64876,0.26384,0.36379,0.20098,0.40723,0.36055,0.3749,0.17742,0.01139,0.01947,2.16052,1.69451,0.034085,0.000661774,0.000661774
3,603.387,0.00837,0.01664,1.86545,1.31807,0.64459,0.36382,0.38518,0.21292,0.65459,0.36738,0.39045,0.17718,0.01186,0.01963,2.29353,1.72986,0.00107696,0.000987112,0.000987112
4,798.745,0.00845,0.01659,1.88241,1.31768,0.3536,0.43962,0.38969,0.20844,0.34834,0.42825,0.3795,0.18688,0.01143,0.01907,2.20692,1.69957,0.000982,0.000982,0.000982
5,995.296,0.00846,0.01663,1.8714,1.31904,0.45489,0.39203,0.4029,0.22938,0.4729,0.38673,0.4046,0.19565,0.01169,0.01864,2.09458,1.72096,0.000976,0.000976,0.000976
6,1189.65,0.00836,0.01633,1.85796,1.32032,0.53032,0.3727,0.37985,0.21325,0.51865,0.37623,0.39313,0.1939,0.0117,0.01912,2.12472,1.72221,0.00097,0.00097,0.00097
7,1386.38,0.00824,0.01645,1.84007,1.31619,0.66781,0.37581,0.38618,0.20752,0.67361,0.38014,0.38748,0.18232,0.01184,0.01849,2.23701,1.71859,0.000964,0.000964,0.000964
8,1583.22,0.00834,0.01649,1.82985,1.30234,0.55029,0.2778,0.35744,0.19796,0.56108,0.28271,0.37112,0.17958,0.01173,0.01877,2.17327,1.7015,0.000958,0.000958,0.000958
9,1777.97,0.00838,0.01638,1.83719,1.32443,0.37633,0.36716,0.35094,0.18723,0.61265,0.30602,0.3465,0.15988,0.01188,0.01884,2.22434,1.74427,0.000952,0.000952,0.000952
10,1972.98,0.00838,0.01655,1.88397,1.33979,0.60568,0.38127,0.39747,0.21882,0.62337,0.38969,0.41041,0.19248,0.01139,0.01878,2.16272,1.71136,0.000946,0.000946,0.000946
11,2166.27,0.00834,0.01663,1.84804,1.3314,0.41524,0.40501,0.36444,0.20747,0.4234,0.41677,0.36873,0.18254,0.01181,0.01834,2.20596,1.73023,0.00094,0.00094,0.00094
12,2359.06,0.00839,0.01658,1.82658,1.31942,0.38794,0.38585,0.38008,0.21251,0.37559,0.3986,0.38936,0.18921,0.01152,0.01867,2.23223,1.69068,0.000934,0.000934,0.000934
13,2551.88,0.00832,0.01647,1.82566,1.29743,0.45327,0.31329,0.34725,0.19604,0.46544,0.31646,0.35206,0.17578,0.01161,0.0187,2.2755,1.67602,0.000928,0.000928,0.000928
14,2758.45,0.00832,0.01651,1.8049,1.31914,0.67534,0.26475,0.35791,0.20551,0.67003,0.26095,0.36085,0.17269,0.01144,0.02005,2.28638,1.68379,0.000922,0.000922,0.000922
15,2977.94,0.00839,0.01666,1.8288,1.31225,0.52087,0.42078,0.39729,0.22327,0.51572,0.41289,0.40224,0.2017,0.01154,0.0185,2.14313,1.70023,0.000916,0.000916,0.000916
16,3197.36,0.00823,0.01612,1.79652,1.30169,0.51988,0.45603,0.39191,0.2176,0.48908,0.4599,0.3889,0.19798,0.01175,0.0185,2.18888,1.70105,0.00091,0.00091,0.00091
17,3423.48,0.0083,0.01638,1.79887,1.30226,0.39051,0.44849,0.40865,0.22631,0.38963,0.43855,0.41031,0.20452,0.01182,0.01871,2.18302,1.73366,0.000904,0.000904,0.000904
18,3640.6,0.00815,0.0162,1.78449,1.29526,0.59535,0.33428,0.38277,0.22248,0.5979,0.3336,0.38705,0.19415,0.01138,0.01902,2.17568,1.68953,0.000898,0.000898,0.000898
19,3860.46,0.00809,0.01617,1.76071,1.28285,0.29885,0.4578,0.37337,0.20684,0.3121,0.47218,0.38071,0.18099,0.01149,0.01873,2.18079,1.67486,0.000892,0.000892,0.000892
20,4085.04,0.00828,0.01631,1.82968,1.3142,0.52693,0.44748,0.39619,0.22763,0.52269,0.44574,0.39534,0.19767,0.01164,0.01849,2.22164,1.69539,0.000886,0.000886,0.000886
21,4310.59,0.00829,0.01651,1.78354,1.28451,0.40791,0.44827,0.38966,0.22462,0.41023,0.44806,0.39338,0.2006,0.01179,0.01808,2.11596,1.73205,0.00088,0.00088,0.00088
22,4542.26,0.00806,0.01608,1.78388,1.28522,0.36449,0.41303,0.3647,0.20727,0.38302,0.4324,0.38149,0.18301,0.01167,0.01861,2.21761,1.74034,0.000874,0.000874,0.000874
23,4767.17,0.00821,0.01614,1.76802,1.30623,0.32494,0.46176,0.36942,0.21316,0.35457,0.37634,0.37367,0.18209,0.01157,0.01896,2.18008,1.69754,0.000868,0.000868,0.000868
24,4994.06,0.00818,0.01636,1.75454,1.30982,0.35554,0.44691,0.37912,0.21701,0.34554,0.40498,0.378,0.18715,0.01165,0.01949,2.21266,1.71518,0.000862,0.000862,0.000862
25,5218.7,0.00807,0.01608,1.74197,1.29423,0.4162,0.3549,0.40619,0.22835,0.4142,0.38569,0.40806,0.20517,0.01165,0.01827,2.09916,1.70615,0.000856,0.000856,0.000856
26,5443.49,0.00819,0.01598,1.78303,1.30085,0.43908,0.42328,0.40248,0.23233,0.41415,0.3904,0.39381,0.19654,0.01183,0.01854,2.09541,1.7371,0.00085,0.00085,0.00085
27,5667.03,0.00803,0.01599,1.7392,1.28867,0.56061,0.32568,0.40247,0.22351,0.55481,0.36164,0.40235,0.19907,0.01159,0.01853,2.05995,1.69786,0.000844,0.000844,0.000844
28,5884.5,0.00837,0.01622,1.7687,1.30532,0.478,0.41138,0.3764,0.20471,0.56332,0.33284,0.37148,0.19198,0.01163,0.01876,2.1746,1.7004,0.000838,0.000838,0.000838
29,6106.51,0.00808,0.01611,1.77983,1.28985,0.58445,0.30857,0.39234,0.2128,0.61259,0.32254,0.41133,0.1927,0.01164,0.01877,2.07084,1.69686,0.000832,0.000832,0.000832
30,6327.04,0.00804,0.01615,1.70782,1.28863,0.44924,0.42383,0.36719,0.20771,0.45637,0.43338,0.37588,0.18441,0.01159,0.01874,2.13432,1.68112,0.000826,0.000826,0.000826
31,6548.51,0.0082,0.01642,1.77877,1.30348,0.46154,0.41107,0.38744,0.21983,0.49311,0.36567,0.38503,0.18711,0.01146,0.01853,2.11172,1.6565,0.00082,0.00082,0.00082
32,6770.31,0.00824,0.01637,1.76833,1.32375,0.34266,0.44071,0.3666,0.20651,0.35691,0.41097,0.37695,0.18199,0.01125,0.01874,2.12913,1.63611,0.000814,0.000814,0.000814
33,6991.09,0.0082,0.01629,1.75996,1.30455,0.56432,0.31272,0.38121,0.22177,0.5689,0.31949,0.38195,0.19026,0.01131,0.01843,2.13064,1.65448,0.000808,0.000808,0.000808
34,7213.38,0.00815,0.01632,1.74302,1.29125,0.4597,0.38122,0.3717,0.21652,0.52992,0.32657,0.38929,0.19298,0.01168,0.01842,2.20056,1.68496,0.000802,0.000802,0.000802
35,7437.45,0.00819,0.01631,1.7589,1.30846,0.63133,0.37516,0.39311,0.22435,0.36302,0.37858,0.39558,0.18869,0.01153,0.019,2.09262,1.69967,0.000796,0.000796,0.000796
36,7659.2,0.00817,0.01642,1.76634,1.29249,0.5069,0.41989,0.3995,0.22923,0.365,0.41021,0.39896,0.19156,0.01146,0.0195,2.14744,1.67412,0.00079,0.00079,0.00079
37,7881.08,0.00811,0.01606,1.75089,1.30905,0.46494,0.44745,0.40872,0.24052,0.47327,0.4625,0.41732,0.20782,0.01166,0.01905,2.10098,1.69798,0.000784,0.000784,0.000784
38,8100.96,0.00821,0.01631,1.6985,1.27165,0.34439,0.43475,0.40306,0.23421,0.72945,0.3185,0.41097,0.20304,0.0115,0.01874,2.12288,1.70173,0.000778,0.000778,0.000778
39,8320.91,0.00807,0.01613,1.71453,1.28337,0.38753,0.45511,0.39737,0.23211,0.3936,0.46073,0.39505,0.20497,0.01141,0.01841,2.12188,1.66433,0.000772,0.000772,0.000772
40,8542.11,0.00816,0.01628,1.78634,1.31143,0.51045,0.43703,0.41017,0.24277,0.594,0.40567,0.42276,0.21477,0.01147,0.01833,2.12383,1.69341,0.000766,0.000766,0.000766
41,8765.49,0.00817,0.01613,1.70725,1.28092,0.59056,0.43048,0.42104,0.24225,0.59551,0.43629,0.42732,0.21542,0.01165,0.01894,2.13562,1.70923,0.00076,0.00076,0.00076
42,8988.61,0.00818,0.01632,1.72406,1.30258,0.60757,0.37531,0.40603,0.24107,0.60824,0.40102,0.42279,0.21518,0.01171,0.01822,2.20725,1.71575,0.000754,0.000754,0.000754
43,9214.44,0.00822,0.01649,1.74584,1.2816,0.36466,0.46279,0.40472,0.23529,0.3783,0.48151,0.41352,0.19933,0.01157,0.01889,2.07228,1.68519,0.000748,0.000748,0.000748
44,9440.56,0.00821,0.01639,1.70698,1.3032,0.45225,0.44563,0.40604,0.24077,0.46734,0.46067,0.41902,0.21421,0.01155,0.01802,2.17544,1.66255,0.000742,0.000742,0.000742
45,9660.84,0.00814,0.01615,1.71758,1.28704,0.58347,0.46763,0.44077,0.25658,0.6017,0.48381,0.44913,0.21554,0.0115,0.01821,2.07912,1.67765,0.000736,0.000736,0.000736
46,9882.36,0.00786,0.01602,1.69633,1.25679,0.39162,0.48943,0.41397,0.23256,0.39735,0.49489,0.42213,0.21021,0.01145,0.01813,2.07106,1.69559,0.00073,0.00073,0.00073
47,10110.1,0.0081,0.0162,1.67978,1.27589,0.42646,0.42977,0.4188,0.23915,0.41291,0.46668,0.42867,0.20783,0.01143,0.01853,2.09023,1.67282,0.000724,0.000724,0.000724
48,10335.2,0.00818,0.01637,1.7229,1.2901,0.42816,0.50102,0.44915,0.26685,0.42601,0.49887,0.4422,0.20964,0.01149,0.01912,2.16929,1.67719,0.000718,0.000718,0.000718
49,10563.8,0.00804,0.01614,1.6944,1.29886,0.30159,0.36156,0.37503,0.22178,0.31474,0.38536,0.37991,0.18898,0.01148,0.01856,2.20994,1.67382,0.000712,0.000712,0.000712
50,10788,0.00815,0.0164,1.74774,1.3128,0.38975,0.34748,0.40353,0.23232,0.40265,0.35647,0.4026,0.2042,0.01132,0.01855,2.10098,1.67504,0.000706,0.000706,0.000706
51,11016.9,0.00806,0.01602,1.7075,1.30507,0.45715,0.34966,0.42339,0.25177,0.45223,0.34532,0.42136,0.20649,0.01118,0.0184,2.12763,1.65454,0.0007,0.0007,0.0007
52,11250.5,0.00807,0.01611,1.70298,1.28838,0.3993,0.40154,0.38829,0.22116,0.40683,0.40968,0.38878,0.19226,0.01157,0.01878,2.13919,1.65981,0.000694,0.000694,0.000694
53,11476.6,0.00796,0.01599,1.696,1.27377,0.45757,0.39638,0.41573,0.24101,0.45018,0.3883,0.41382,0.20092,0.01151,0.01878,2.11259,1.7039,0.000688,0.000688,0.000688
54,11693.7,0.00808,0.01639,1.68351,1.28434,0.37742,0.43712,0.41028,0.22833,0.41453,0.44908,0.4103,0.2019,0.01147,0.01852,2.08621,1.67458,0.000682,0.000682,0.000682
55,11920.1,0.00814,0.01639,1.73911,1.28408,0.42217,0.43357,0.41881,0.24418,0.43282,0.47242,0.42278,0.21116,0.01142,0.01847,2.04383,1.6671,0.000676,0.000676,0.000676
